time,profit
2025.01.27 09:28,68.00
2025.02.03 04:39,10.99
2025.02.11 14:57,103.34
2025.02.14 17:33,-4.28
2025.02.25 17:30,21.30
2025.02.28 05:44,-44.65
2025.02.28 20:00,-19.36
2025.03.21 15:50,84.58
2025.04.03 14:01,80.26
2025.04.04 18:37,-57.31
2025.04.08 12:00,-23.98
2025.04.22 19:26,292.14
2025.04.23 16:49,-113.61
2025.05.01 03:47,-51.23
2025.05.08 09:14,95.63
2025.05.12 10:01,-85.36
2025.05.13 08:00,21.88
2025.05.27 14:21,-14.44
2025.05.29 02:14,-27.54
2025.06.06 17:16,56.62
2025.06.19 08:52,54.74
2025.06.24 08:42,-36.20
2025.06.24 20:00,-8.91
2025.07.15 18:32,-40.98
2025.07.23 19:01,60.08
2025.07.25 11:28,-40.41
2025.07.28 20:00,-33.54
2025.08.11 14:24,-27.96
2025.08.14 20:00,-23.01
2025.08.29 23:54,82.73
